DLN,EIN,FILING_TYPE,IRS990EZ_p3_DscrptnPrgrmSrvcAccmTxt,IRS990EZ_p3_PrmryExmptPrpsTxt,IRS990PF_p16b_RltnshpSttmntTxt,IRS990PF_p9a_DscrptnTxt,IRS990ScheduleO_ExplntnTxt,IRS990_p1_ActvtyOrMssnDsc,IRS990_p3_DscS,IRS990_p3_MssnDsc,OBJECT_ID,RETURN_ID,RETURN_TYPE,SUB_DATE,TAXPAYER_NAME,TAX_PERIOD,YEAR,Real_Year,ACCPER,ADDRESS,ASSETS,CASSETS,CFINSRC,CITY,CTAXPER,CTOTREV,EPOST,FILER,FIPS,FISYR_IMAGE,FNDNCD,FRCD,GEN,INCOME,IRS990n,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,MSA_NECH,NAICS,NAME,NTEE1,NTEECC,NTEECONF,NTEEFINAL,NTEESRC,NTMAJ10,NTMAJ12,NTMAJ5,OUTNCCS,OUTREAS,PFFRCD,PMSA,RANDNUM,RULEDATE,RandNum,SEC_NAME,STATE,SUBSECCD,TAXPER,YEAR_NCCS,ZFILER,ZIP5,cAssets,cFiler,cFinSrc,cTaxPer,cTotRev,czFiler,nteeConf,nteeFinal,nteeFinal1,ntmaj10,ntmaj12,ntmaj5
93492303001313.0,742645332,EFILE,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,,,VERSION_NOT_SUPPORTED,,,,2.0131303934920013e+17,11074487.0,990EZ,12/26/2013,VALLEY PROUD ENVIRONMENTAL COUNCIL,201306.0,2013.0,2013.0,6.0,513 E JACKSON ST STE 304,133435.0,,,HARLINGEN,,,Z,Y,48061.0,2013.0,15.0,10.0,0.0,108796.0,0.0,PC,O,EN,C,C,1240.0,712190.0,VALLEY PROUD ENVIRONMENTAL COUNCIL,C,C60,,,1,,,,IN,,,,,199211.0,0.14947,,TX,3.0,201306.0,2013.0,N,78550.0,133435.0,Y,bmf1312c3,201306.0,108796.0,N,B,C60,C,EN,EN,OT
93491301000073.0,752212157,EFILE,,,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,,,,,2.013230193491e+17,11087271.0,990PF,12/30/2013,EVERETT E AND ORABETH K WOODS FOUNDATION,201309.0,2013.0,2013.0,9.0,PO BOX 5749,133892.0,,,ABILENE,,,Z,Y,48441.0,2013.0,4.0,0.0,0.0,15045.0,0.0,PF,O,EN,C,C,40.0,813312.0,EVERETT E AND ORABETH K WOODS FOUNDATION,C,C36,,,1,,,,IN,,,,,198906.0,0.11737,,TX,3.0,201309.0,2014.0,N,79608.0,133892.0,Y,core2012pf,201309.0,5801.0,N,B,C36,C,EN,EN,OT
93493302011843.0,742094805,EFILE,,,,,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,2.013430293493012e+17,11073852.0,990O,12/26/2013,KINGS POINT TRAIL ASSOCIATION,201306.0,2013.0,2013.0,6.0,1075 KINGWOOD DRIVE,631852.0,,,KINGWOOD,,,Z,Y,48201.0,2013.0,0.0,10.0,0.0,221249.0,0.0,O,O,EN,C,C,3362.0,813312.0,KINGS POINT TRAIL ASSOCIATION,C,C99,,,1,,,,IN,,,3360.0,,199309.0,0.26681,,TX,4.0,201306.0,2013.0,N,77339.0,631852.0,Y,bmf1312co,201306.0,221249.0,N,C,C99,C,EN,EN,OT
93492317014733.0,510225607,EFILE,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,,,VERSION_NOT_SUPPORTED,,,,2.0133317934920147e+17,11080129.0,990EZ,12/27/2013,KINGWOOD GARDEN CLUB,201306.0,2013.0,2013.0,6.0,PO BOX 5048,84926.0,,,KINGWOOD,,,Z,Y,48201.0,2013.0,16.0,20.0,7170.0,26703.0,0.0,PC,O,EN,C,C,3362.0,813410.0,TEXAS GARDEN CLUBS INC,C,C42,,,1,,,,IN,,,3360.0,,199301.0,0.42941999999999997,605 KINGWOOD GARDEN CLUB,TX,3.0,201306.0,2013.0,N,77325.0,84926.0,Y,bmf1312c3,201306.0,4844.0,N,B,C42,C,EN,EN,OT
93492316004393.0,752154523,EFILE,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,,,VERSION_NOT_SUPPORTED,,,,2.0134316934920045e+17,11086464.0,990EZ,12/30/2013,ANGELINA BEAUTIFULCLEAN,201304.0,2013.0,2013.0,4.0,PO BOX 1606,21019.0,,,LUFKIN,,,Z,Y,48005.0,2014.0,15.0,1.0,0.0,128365.0,0.0,PC,O,EN,C,C,,813312.0,ANGELINA BEAUTIFUL CLEAN,C,C50,,,1,,,,IN,,,,,198705.0,0.09386,,TX,3.0,201304.0,2014.0,N,75902.0,21019.0,Y,core2012pc,201304.0,104364.0,N,A,C50,C,EN,EN,OT
93492166003083.0,750787690,EFILE,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,,,VERSION_NOT_SUPPORTED,,,,2.0133166934920032e+17,10713807.0,990EO,7/29/2013,LAKE LYDIA INC,201303.0,2013.0,2013.0,3.0,PO BOX 1484,352887.0,,,QUITMAN,,,Z,Y,48499.0,2013.0,0.0,10.0,0.0,72848.0,0.0,O,O,EN,C,C,,813312.0,LAKE LYDIA INC,C,C99,,,1,,,,IN,,,,,195009.0,0.81335,,TX,7.0,201303.0,2013.0,N,75783.0,352887.0,Y,bmf1312co,201303.0,72848.0,N,C,C99,C,EN,EN,OT
93492142004223.0,751954862,EFILE,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,,,VERSION_NOT_SUPPORTED,,,,2.0132142934920042e+17,10737883.0,990EO,8/5/2013,WOODS CEMETERY ASSOCIATION,201304.0,2013.0,2013.0,4.0,127 COUNTY ROAD 4262,264882.0,,,TENAHA,,,Z,Y,48419.0,2013.0,0.0,20.0,0.0,9523.0,0.0,O,O,EN,C,C,,813312.0,WOODS CEMETERY ASSOCIATION,C,C36,,,1,,,,IN,,,,,198510.0,0.36344,,TX,13.0,201304.0,2013.0,N,75974.0,264882.0,Y,bmf1312co,201304.0,9523.0,N,A,C36,C,EN,EN,OT
93493210010093.0,742601251,EFILE,,,,,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,2.0134210934930102e+17,10833364.0,990,9/13/2013,DAVIS MOUNTAINS TRANS PECOS HERITAGE ASSOCIATION,201302.0,2013.0,2013.0,2.0,PO BOX 1209,12940.0,,,ALPINE,,,Z,Y,48043.0,2013.0,15.0,20.0,0.0,31967.0,0.0,PC,O,EN,C,C,,813312.0,DAVIS MOUNTAINS TRANS-PECOS HERITAGE ASSOCIATION,C,C30,,,1,,,,IN,,,,,199107.0,0.80909,,TX,3.0,201302.0,2013.0,N,79831.0,12940.0,Y,bmf1312c3,201302.0,31967.0,N,A,C30,C,EN,EN,OT
93493253008593.0,746069002,EFILE,,,,,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,2.0134253934930086e+17,10859796.0,990O,9/25/2013,MESQUITE TRAIL DRIVERS ASSOCIATION,201304.0,2013.0,2013.0,4.0,PO BOX 38,49831.0,,,ADKINS,,,Z,Y,48029.0,2013.0,0.0,10.0,0.0,116468.0,0.0,O,O,EN,C,C,7240.0,813312.0,MESQUITE TRAIL DRIVERS ASSOCIATION,C,C99,,,1,,,,IN,,,,,196509.0,0.1184,,TX,7.0,201304.0,2013.0,N,78101.0,49831.0,Y,bmf1312co,201304.0,69941.0,N,C,C99,C,EN,EN,OT
93492241005013.0,760436267,EFILE,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,,,VERSION_NOT_SUPPORTED,,,,2.013124193492005e+17,10914628.0,990EZ,11/5/2013,EAST MATAGORDA BAY FOUNDATION INC,201306.0,2013.0,2013.0,6.0,PO BOX 4004,15551.0,,,SARGENT,,,Z,Y,48321.0,2013.0,15.0,20.0,0.0,1152.0,1.0,PC,O,EN,C,C,,813312.0,EAST MATAGORDA BAY FOUNDATION INC,C,C30,,,1,,,,IN,,,,,199411.0,0.97845,,TX,3.0,201306.0,2013.0,N,77404.0,15551.0,Y,bmf1312c3,201306.0,1152.0,N,B,C30,C,EN,EN,OT
93492275004163.0,760567365,EFILE,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,,,VERSION_NOT_SUPPORTED,,,,2.0131275934920042e+17,10949569.0,990EZ,11/15/2013,PECKERWOOD GARDENS CONSERVATION FOUNDATION INC,201303.0,2013.0,2013.0,3.0,20571 FM 359 RD,481478.0,,,HEMPSTEAD,,,Z,Y,48473.0,2013.0,15.0,10.0,0.0,149391.0,0.0,PC,O,EN,C,C,3362.0,813312.0,PECKERWOOD GARDENS CONSERVATION FOUNDATION INC,C,C30,,,1,,,,IN,,,3360.0,,199903.0,0.65979,,TX,3.0,201303.0,2013.0,N,77445.0,481478.0,Y,bmf1312c3,201303.0,149391.0,N,B,C30,C,EN,EN,OT
93492276006113.0,274374251,EFILE,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,,,VERSION_NOT_SUPPORTED,,,,2.013127693492006e+17,10949602.0,990EZ,11/15/2013,MAGNOLIA GARDEN CLUB,201306.0,2013.0,2013.0,6.0,148 S DOWLEN RD,70200.0,,,BEAUMONT,,,Z,Y,48245.0,2013.0,16.0,10.0,0.0,78512.0,0.0,PC,O,EN,C,C,840.0,813410.0,MAGNOLIA GARDEN CLUB,C,C42,,,1,,,,IN,,,,,201105.0,0.99665,,TX,3.0,201306.0,2013.0,N,77707.0,70200.0,Y,bmf1312c3,201306.0,58564.0,N,A,C42,C,EN,EN,OT
93493269002283.0,752351673,EFILE,,,,,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,2.0133269934930022e+17,10937239.0,990O,11/13/2013,CENTER FOR LEGISLATIVE ENERGY AND ENVIRONMENTAL RESEARCH,201306.0,2013.0,2013.0,6.0,5400 LBJ FREEWAY,148163.0,,,DALLAS,,,Z,Y,48113.0,2013.0,0.0,10.0,0.0,218157.0,0.0,O,O,EN,C,C,1922.0,813312.0,CENTER FOR LEGISLATIVE ENERGY AND ENVIRONMENTAL RESEARCH,C,C35,,,1,,,,IN,,,1920.0,,199104.0,0.70695,,TX,4.0,201306.0,2013.0,N,75240.0,148163.0,Y,bmf1312co,201306.0,218157.0,N,A,C35,C,EN,EN,OT
93492269002273.0,740706081,EFILE,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,,,VERSION_NOT_SUPPORTED,,,,2.0132269934920022e+17,10939986.0,990EO,11/13/2013,INTERNATIONAL BROTHERHOOD IRON SHIP 74,201306.0,2013.0,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93491318006103.0,752856276,EFILE,,,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,,,,,2.013031893491006e+17,11031542.0,990PF,12/14/2013,WILTON FOUNDATION,201306.0,2013.0,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93493310007293.0,272887426,EFILE,,,,,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,2.0134310934930074e+17,11040794.0,990,12/17/2013,SAN ANTONIO BIKE SHARE,201306.0,2013.0,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93493280002163.0,261961167,EFILE,,,,,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,2.0131280934930022e+17,11042108.0,990,12/17/2013,RECOVERY INN,201303.0,2013.0,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93492312007143.0,752655909,EFILE,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,,,VERSION_NOT_SUPPORTED,,,,2.013431293492007e+17,11067935.0,990EO,12/24/2013,NORTH TEXAS SECTION OF THE WATER ENVIRONMENT ASSOCIATION OF TEXAS,201306.0,2013.0,2013.0,6.0,12750 MERIT DR STE 1100,210283.0,,,DALLAS,,,Z,Y,48113.0,2013.0,0.0,10.0,0.0,78569.0,0.0,O,O,EN,C,C,1922.0,813312.0,NORTH TEXAS SECTION OF THE WATER ENVIRONMENT ASSOCIATION OF TEXAS,C,C32,,,1,,,,IN,,,1920.0,,199609.0,0.16959000000000002,,TX,6.0,201306.0,2013.0,N,75251.0,210283.0,Y,bmf1312co,201306.0,61383.0,N,A,C32,C,EN,EN,OT
93492312008393.0,742772459,EFILE,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,,,VERSION_NOT_SUPPORTED,,,,2.0134312934920083e+17,11067938.0,990EO,12/24/2013,TEXAS GULF COAST SUPERINTENDENTS ASSOCIATION,201306.0,2013.0,2013.0,6.0,PO BOX 271352,19259.0,,,CORP CHRISTI,,,Z,Y,48355.0,2013.0,0.0,20.0,0.0,32978.0,0.0,O,O,EN,C,C,1880.0,813920.0,TEXAS GULF COAST SUPERINTENDENTS ASSOCIATION INC,C,C03,,,1,,,,IN,,,,,199606.0,0.85288,,TX,6.0,201306.0,2013.0,N,78427.0,19259.0,Y,bmf1312co,201306.0,27064.0,N,C,C03,C,EN,EN,OT
93493350014023.0,746059311,EFILE,,,,,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,2.013235093493014e+17,11091987.0,990O,12/31/2013,SOCIETY OF INDEPENDENT PROFESSIONAL EARTH SCIENTISTS,201302.0,2013.0,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93492314008614.0,742687511,EFILE,TX CONFERENCE ON ORGANIC PRODUCTION SYSTEMS FOR FARMERS RANCHERS GARDENER ETC EDUCATION SPEAKERS TO PROMOTE ORANIC LOCAL AGRICULTURE IN TEXAS##MEMBERS RECEIVE A QUARTERLY TOFGA TODAY NEWSLETTER,PROMOTe& SUPPORT ORGANIC FARMIN,,,,,,,2.0141314934920086e+17,12054716.0,990EZ,12/8/2014 8:54:07 PM,TEXAS ORGANIC FARMERS AND GARDENERS ASSOCIATION,201312.0,2014.0,2013.0,12.0,PO BOX 48,29343.0,,,ELGIN,,,Z,Y,48021.0,2014.0,15.0,1.0,0.0,102690.0,0.0,PC,O,EN,C,C,640.0,813410.0,TEXAS ORGANIC FARMERS AND GARDENERS ASSOCIATION,C,C42,,,1,,,,IN,,,,,199407.0,0.11849000000000001,,TX,3.0,201312.0,2015.0,N,78621.0,29343.0,Y,core2013pc,201312.0,102690.0,N,A,C42,C,EN,EN,OT
93492317014064.0,850155431,EFILE,"ANNUAL YEARBOOK AND WINDMILL PUBLICATION##CONVENTION, SEMINARS, TRADE SHOWS##OTHER ASSOCIATION EXPENSE##SCHOLARSHIPS",PROFESSIONAL FLORIST ASSOCIATION,,,SCHOLARSHIPS,,,,2.014131793492014e+17,12055450.0,990EO,12/8/2014 11:17:59 PM,WESTEXAS NEW MEXICO FLORIST ASSOC,201408.0,2014.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93491317002204.0,752856276,EFILE,,,,Fish stocking in community lake - entire community benefits,,,,,2.0140317934910022e+17,12055614.0,990PF,12/8/2014 11:50:58 PM,WILTON FOUNDATION,201406.0,2014.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93493321051704.0,741854299,EFILE,,,,,,"Houston Heights Association (HHA) fosters a sense of community by being a proactive leader in planning neighborhood progress, sponsoring the rehabilitation of historically significant buildings, maintaining parks/walkways, and promoting friendship/community spirit.","Houston Heights Association's (the Association) purpose is to promote and sponsor the rehabilitation and restoration of historically significant homes and buildings, as well as maintenance or improvement of parks and streets, and to promote commerce and education in the geographical area of Houston, Texas known as The Heights. The Association's projects include:Parks & Fire Station Maintenance - HHA maintains two parks on Heights Boulevard and historic City Hall & Fire Station.Constable Program - HHA coordinates with county constables to provide additional patrols of the area to increase neighborhood security.Boulevard Beautification - HHA maintains the esplanade and trees on Heights Boulevard.Awards, Education Committee, Land Use, Holiday Food Baskets, Crime & Security: Houston Heights Association (HHA)annually recognizes community improvement structures and outstanding volunteers, publicizes school activities and achievements, awards classroom grants to neighborhood schools, promotes deed restrictions, code enforcement and historic preservation, purchases and assembles food baskets for needy families, and promotes a safe neighborhood by sponsoring a police protection program to provide enhanced security with constable patrols.","The mission of the Houston Heights Association is to foster a sense of community among the diverse segments of the neighborhood by:Being a proactive leader in planning neighborhood progress and solving neighborhood problems, serving as a constructive force to promote, foster, encourage, and sponsor the rehabilitation and restoration of historically significant homes and buildings and to promote Houston Heights as the best and most livable historic neighborhood in the Houston metropolitan area; maintaining, improving and beautifying parks, streets, walkways, public buildings, and vacant and underdeveloped areas; promoting and fostering friendship, goodwill, and community spirit, mobilizing Heights talent and resources, including other area organizations, to combat community deterioration and meet neighborhood needs; and educating, informing and empowering the entire populace concerning the community to enhance involvement in neighborhood progress and promote good citizenship in an atmos",2.0140321934930518e+17,12107603.0,990,12/29/2014,HOUSTON HEIGHTS ASSOCIATION,201312.0,2014.0,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
